pitch,time,pitcher,batter,release_speed_mph,induced_vertical_break_in,horizontal_break_in,spin_rate_rpm,tilt,exit_speed_mph
55,61:18,"Kelly, Ronald","Lizardo, Jesus",82,9.39,17.25,2341,2:15,--
56,61:42,"Kelly, Ronald","Lizardo, Jesus",90,12.55,13.67,2301,1:45,--
57,62:14,"Kelly, Ronald","Lizardo, Jesus",79,0.22,-9.12,2442,8:45,91
58,63:02,"Kelly, Ronald","Triana, Fernando",89,10.53,10.51,2262,1:30,83
59,63:42,"Kelly, Ronald","Borges, Oscar",88,16.84,8.07,2174,1:00,--
60,64:12,"Kelly, Ronald","Borges, Oscar",88,16.68,14.59,2302,1:30,--
61,64:41,"Kelly, Ronald","Borges, Oscar",79,-3.67,-9.38,2518,8:00,--
62,65:05,"Kelly, Ronald","Borges, Oscar",81,3.28,-8.77,2574,9:30,--
63,65:53,"Kelly, Ronald","Borges, Oscar",80,0.49,-8.79,2516,8:45,90
64,66:39,"Kelly, Ronald","Figueroa, Juan",81,5.77,17.91,2322,2:30,--
65,67:03,"Kelly, Ronald","Figueroa, Juan",82,9.23,17.63,2209,2:15,--
66,67:48,"Kelly, Ronald","Figueroa, Juan",90,13.48,17.28,2304,1:45,69
67,68:36,"Kelly, Ronald","Figueroa, Juan",79,1.68,-8.33,2488,9:00,--
68,68:55,"Kelly, Ronald","Figueroa, Juan",85,13.03,18.03,1988,2:00,--
69,69:03,"Albanez-Rienzo, Pietro","Perez, Nestor",75,-5.30,-3.82,2422,7:00,--
70,69:12,"Albanez-Rienzo, Pietro","Perez, Nestor",75,-5.67,-2.61,2451,6:45,--
71,69:20,"Albanez-Rienzo, Pietro","Perez, Nestor",74,-14.17,-7.86,2230,7:00,--
72,69:32,"Albanez-Rienzo, Pietro","Perez, Nestor",85,8.68,18.60,2077,2:15,--
73,70:03,"Albanez-Rienzo, Pietro","Perez, Nestor",85,17.39,13.58,2062,1:15,--
74,70:31,"Albanez-Rienzo, Pietro","Perez, Nestor",86,16.99,13.90,1954,1:30,--
75,70:42,"Albanez-Rienzo, Pietro","Perez, Nestor",73,-16.93,-9.07,2278,6:45,--
76,71:02,"Albanez-Rienzo, Pietro","Perez, Nestor",75,-15.21,-11.28,2323,7:00,86
77,71:23,"Albanez-Rienzo, Pietro","Hernandez, Hector",87,16.72,14.73,1999,1:30,--
78,71:36,"Albanez-Rienzo, Pietro","Hernandez, Hector",88,18.88,14.02,2113,1:15,69
79,71:52,"Albanez-Rienzo, Pietro","Hernandez, Hector",88,18.60,12.27,2149,1:15,--
80,72:08,"Albanez-Rienzo, Pietro","Hernandez, Hector",76,-7.70,-6.34,2479,7:15,--
81,72:33,"Albanez-Rienzo, Pietro","Hernandez, Hector",87,17.36,12.33,1991,1:15,--
82,73:02,"Albanez-Rienzo, Pietro","Lebron, Felix",74,-5.72,-8.64,2364,7:45,--
83,73:21,"Albanez-Rienzo, Pietro","Lebron, Felix",88,18.25,11.36,2058,1:00,--
84,74:08,"Albanez-Rienzo, Pietro","Lebron, Felix",87,16.67,13.99,1957,1:30,92
85,74:58,"Kelly, Ronald","Allen, Iverson",88,13.65,10.35,2236,1:15,--
86,75:12,"Kelly, Ronald","Allen, Iverson",87,15.86,10.49,2208,1:15,--
87,75:25,"Kelly, Ronald","Allen, Iverson",88,14.00,10.46,2297,1:15,--
88,75:37,"Kelly, Ronald","Allen, Iverson",82,4.41,-4.62,2442,10:00,--
89,75:50,"Kelly, Ronald","Allen, Iverson",81,0.82,20.53,2356,3:00,--
90,76:28,"Kelly, Ronald","Allen, Iverson",84,15.96,8.57,2141,1:00,--
91,77:08,"Kelly, Ronald","Allen, Iverson",89,15.59,13.55,2239,1:30,--
92,77:27,"Kelly, Ronald","Allen, Iverson",89,14.19,13.90,2291,1:30,--
93,77:46,"Kelly, Ronald","Allen, Iverson",79,-4.46,-9.24,2558,8:00,--
94,78:16,"Kelly, Ronald","Allen, Iverson",88,16.14,14.41,2325,1:30,67
95,78:51,"Kelly, Ronald","Allen, Iverson",89,13.07,16.29,2304,1:45,--
